Date,StartTime (QT),Team1,Team2,Stage,StartTime (UTC),DateFormatted,StartDateTime,EndDateTime,Result,Score,Penalties
"Nov 25, 2022",16:00,Qatar,Senegal,Group,13:00,25/11/2022,2022-11-25 13:00:00.000,2022-11-25 15:00:00.000,Loss,1-3,
"Nov 25, 2022",19:00,Netherlands,Ecuador,Group,16:00,25/11/2022,2022-11-25 16:00:00.000,2022-11-25 18:00:00.000,Win,1-1,
"Nov 25, 2022",22:00,England,USA,Group,19:00,25/11/2022,2022-11-25 19:00:00.000,2022-11-25 21:00:00.000,Draw,0-0,
"Nov 26, 2022",13:00,Tunisia,Australia,Group,10:00,26/11/2022,2022-11-26 10:00:00.000,2022-11-26 12:00:00.000,Loss,0-1,
"Nov 26, 2022",16:00,Poland,Saudi Arabia,Group,13:00,26/11/2022,2022-11-26 13:00:00.000,2022-11-26 15:00:00.000,Win,2-0,
"Nov 26, 2022",19:00,France,Denmark,Group,16:00,26/11/2022,2022-11-26 16:00:00.000,2022-11-26 18:00:00.000,Win,2-1,
"Nov 26, 2022",22:00,Argentina,Mexico,Group,19:00,26/11/2022,2022-11-26 19:00:00.000,2022-11-26 21:00:00.000,Win,2-0,
"Nov 27, 2022",13:00,Japan,Costa Rica,Group,10:00,27/11/2022,2022-11-27 10:00:00.000,2022-11-27 12:00:00.000,Loss,0-1,
"Nov 27, 2022",16:00,Belgium,Morocco,Group,13:00,27/11/2022,2022-11-27 13:00:00.000,2022-11-27 15:00:00.000,Loss,0-2,
"Nov 27, 2022",19:00,Croatia,Canada,Group,16:00,27/11/2022,2022-11-27 16:00:00.000,2022-11-27 18:00:00.000,Win,4-1,
"Nov 27, 2022",22:00,Spain,Germany,Group,19:00,27/11/2022,2022-11-27 19:00:00.000,2022-11-27 21:00:00.000,Draw,1-1,
"Nov 28, 2022",13:00,Cameroon,Serbia,Group,10:00,28/11/2022,2022-11-28 10:00:00.000,2022-11-28 12:00:00.000,Draw,3-3,
"Nov 28, 2022",16:00,South Korea,Ghana,Group,13:00,28/11/2022,2022-11-28 13:00:00.000,2022-11-28 15:00:00.000,Loss,2-3,
"Nov 28, 2022",19:00,Brazil,Switzerland,Group,16:00,28/11/2022,2022-11-28 16:00:00.000,2022-11-28 18:00:00.000,Win,1-0,
"Nov 28, 2022",22:00,Portugal,Uruguay,Group,19:00,28/11/2022,2022-11-28 19:00:00.000,2022-11-28 21:00:00.000,Win,2-0,
"Nov 29, 2022",18:00,Ecuador,Senegal,Group,15:00,29/11/2022,2022-11-29 15:00:00.000,2022-11-29 17:00:00.000,Loss,1-2,
"Nov 29, 2022",18:00,Netherlands,Qatar,Group,15:00,29/11/2022,2022-11-29 15:00:00.000,2022-11-29 17:00:00.000,Win,2-0,
"Nov 29, 2022",22:00,Wales,England,Group,19:00,29/11/2022,2022-11-29 19:00:00.000,2022-11-29 21:00:00.000,Loss,0-3,
"Nov 29, 2022",22:00,Iran,USA,Group,19:00,29/11/2022,2022-11-29 19:00:00.000,2022-11-29 21:00:00.000,Loss,0-1,
"Nov 30, 2022",18:00,Australia,Denmark,Group,15:00,30/11/2022,2022-11-30 15:00:00.000,2022-11-30 17:00:00.000,Win,1-0,
"Nov 30, 2022",18:00,Tunisia,France,Group,15:00,30/11/2022,2022-11-30 15:00:00.000,2022-11-30 17:00:00.000,Win,1-0,
"Nov 30, 2022",22:00,Poland,Argentina,Group,19:00,30/11/2022,2022-11-30 19:00:00.000,2022-11-30 21:00:00.000,Loss,0-2,
"Nov 30, 2022",22:00,Saudi Arabia,Mexico,Group,19:00,30/11/2022,2022-11-30 19:00:00.000,2022-11-30 21:00:00.000,Loss,1-2,
"Dec 1, 2022",18:00,Croatia,Belgium,Group,15:00,01/12/2022,2022-12-01 15:00:00.000,2022-12-01 17:00:00.000,Draw,0-0,
"Dec 1, 2022",18:00,Canada,Morocco,Group,15:00,01/12/2022,2022-12-01 15:00:00.000,2022-12-01 17:00:00.000,Loss,1-2,
"Dec 1, 2022",22:00,Japan,Spain,Group,19:00,01/12/2022,2022-12-01 19:00:00.000,2022-12-01 21:00:00.000,Win,2-1,
"Dec 1, 2022",22:00,Costa Rica,Germany,Group,19:00,01/12/2022,2022-12-01 19:00:00.000,2022-12-01 21:00:00.000,Loss,2-4,
"Dec 2, 2022",18:00,Ghana,Uruguay,Group,15:00,02/12/2022,2022-12-02 15:00:00.000,2022-12-02 17:00:00.000,Loss,0-2,
"Dec 2, 2022",18:00,South Korea,Portugal,Group,15:00,02/12/2022,2022-12-02 15:00:00.000,2022-12-02 17:00:00.000,Win,2-1,
"Dec 2, 2022",22:00,Serbia,Switzerland,Group,19:00,02/12/2022,2022-12-02 19:00:00.000,2022-12-02 21:00:00.000,Loss,2-3,
"Dec 2, 2022",22:00,Cameroon,Brazil,Group,19:00,02/12/2022,2022-12-02 19:00:00.000,2022-12-02 21:00:00.000,Win,1-0,
"Dec 3, 2022",18:00,USA,Netherlands,Pre-quarter,15:00,03/12/2022,2022-12-03 15:00:00.000,2022-12-03 17:00:00.000,Loss,1-3,
"Dec 3, 2022",22:00,Argentina,Australia,Pre-quarter,19:00,03/12/2022,2022-12-03 19:00:00.000,2022-12-03 21:00:00.000,Win,2-1,
"Dec 4, 2022",18:00,France,Poland,Pre-quarter,15:00,04/12/2022,2022-12-04 15:00:00.000,2022-12-04 17:00:00.000,Win,3-1,
"Dec 4, 2022",22:00,England,Senegal,Pre-quarter,19:00,04/12/2022,2022-12-04 19:00:00.000,2022-12-04 21:00:00.000,Win,3-0,
"Dec 5, 2022",18:00,Japan,Croatia,Pre-quarter,15:00,05/12/2022,2022-12-05 15:00:00.000,2022-12-05 18:00:00.000,Loss,1-1,1-3
"Dec 5, 2022",22:00,Brazil,South Korea,Pre-quarter,19:00,05/12/2022,2022-12-05 19:00:00.000,2022-12-05 21:00:00.000,Win,4-1,
"Dec 6, 2022",18:00,Morocco,Spain,Pre-quarter,15:00,06/12/2022,2022-12-06 15:00:00.000,2022-12-06 18:00:00.000,Win,0-0,0-3
"Dec 6, 2022",22:00,Portugal,Switzerland,Pre-quarter,19:00,06/12/2022,2022-12-06 19:00:00.000,2022-12-06 21:00:00.000,Win,6-1,
"Dec 9, 2022",18:00,Brazil,Croatia,Quarter,15:00,09/12/2022,2022-12-09 15:00:00.000,2022-12-09 18:00:00.000,Loss,1-1,2-4
"Dec 9, 2022",22:00,Argentina,Netherlands,Quarter,19:00,09/12/2022,2022-12-09 19:00:00.000,2022-12-09 22:00:00.000,Win,2-2,4-3
"Dec 10, 2022",18:00,Portugal,Morocco,Quarter,15:00,10/12/2022,2022-12-10 15:00:00.000,2022-12-10 17:00:00.000,Loss,0-1,
"Dec 10, 2022",22:00,France,England,Quarter,19:00,10/12/2022,2022-12-10 19:00:00.000,2022-12-10 21:00:00.000,Win,2-1,
"Dec 13, 2022",22:00,Croatia,Argentina,Semi,19:00,13/12/2022,2022-12-13 19:00:00.000,2022-12-13 21:00:00.000,Loss,0-3,
"Dec 14, 2022",22:00,Morocco,France,Semi,19:00,14/12/2022,2022-12-14 19:00:00.000,2022-12-14 21:00:00.000,Loss,0-2,
"Dec 18, 2022",18:00,Argentina,France,Final,15:00,18/12/2022,2022-12-18 15:00:00.000,2022-12-18 18:00:00.000,Win,3-3,4-2
