country,prob,currDateTime
Brazil,0.199789708,21/11/2022 19:16:30
Argentina,0.138802599,21/11/2022 19:16:30
England,0.101493054,21/11/2022 19:16:30
France,0.094398716,21/11/2022 19:16:30
Spain,0.082123681,21/11/2022 19:16:30
Germany,0.072698795,21/11/2022 19:16:30
Netherlands,0.069166431,21/11/2022 19:16:30
Portugal,0.057116401,21/11/2022 19:16:30
Belgium,0.042656797,21/11/2022 19:16:30
Denmark,0.028771732,21/11/2022 19:16:30
Uruguay,0.021442899,21/11/2022 19:16:30
Croatia,0.014447593,21/11/2022 19:16:30
Serbia,0.009459986,21/11/2022 19:16:30
Switzerland,0.007817602,21/11/2022 19:16:30
Ecuador,0.007658159,21/11/2022 19:16:30
Mexico,0.006131956,21/11/2022 19:16:30
USA,0.006038272,21/11/2022 19:16:30
Wales,0.004713129,21/11/2022 19:16:30
Senegal,0.004579407,21/11/2022 19:16:30
Poland,0.005088835,21/11/2022 19:16:30
Morocco,0.003132988,21/11/2022 19:16:30
Australia,0.002181751,21/11/2022 19:16:30
Japan,0.003005268,21/11/2022 19:16:30
Canada,0.002726161,21/11/2022 19:16:30
Cameroon,0.002572623,21/11/2022 19:16:30
Ghana,0.00246951,21/11/2022 19:16:30
South Korea,0.002865437,21/11/2022 19:16:30
Iran,0.00129929,21/11/2022 19:16:30
Tunisia,0.001630128,21/11/2022 19:16:30
Saudi Arabia,0.001325071,21/11/2022 19:16:30
Costa Rica,0.001337914,21/11/2022 19:16:30
Qatar,0.001058109,21/11/2022 19:16:30
Brazil,0.190671805,20/11/2022 16:01:39
Argentina,0.137782275,20/11/2022 16:01:39
France,0.106477235,20/11/2022 16:01:39
Spain,0.089913433,20/11/2022 16:01:39
England,0.089935148,20/11/2022 16:01:39
Germany,0.072568747,20/11/2022 16:01:39
Netherlands,0.064991251,20/11/2022 16:01:39
Portugal,0.053216469,20/11/2022 16:01:39
Belgium,0.047611982,20/11/2022 16:01:39
Denmark,0.030440521,20/11/2022 16:01:39
Uruguay,0.020883855,20/11/2022 16:01:39
Croatia,0.016000934,20/11/2022 16:01:39
Serbia,0.009064082,20/11/2022 16:01:39
Switzerland,0.008510207,20/11/2022 16:01:39
Senegal,0.007354499,20/11/2022 16:01:39
Mexico,0.006246493,20/11/2022 16:01:39
USA,0.005777605,20/11/2022 16:01:39
Poland,0.005344696,20/11/2022 16:01:39
Wales,0.004584593,20/11/2022 16:01:39
Ecuador,0.004676134,20/11/2022 16:01:39
Morocco,0.003301089,20/11/2022 16:01:39
Australia,0.002098493,20/11/2022 16:01:39
Qatar,0.002444619,20/11/2022 16:01:39
Japan,0.003246998,20/11/2022 16:01:39
Canada,0.002933832,20/11/2022 16:01:39
Iran,0.001708696,20/11/2022 16:01:39
South Korea,0.002912184,20/11/2022 16:01:39
Cameroon,0.002569158,20/11/2022 16:01:39
Ghana,0.002583622,20/11/2022 16:01:39
Tunisia,0.001594834,20/11/2022 16:01:39
Saudi Arabia,0.001312842,20/11/2022 16:01:39
Costa Rica,0.001241668,20/11/2022 16:01:39
Brazil,0.201204221,21/11/2022 12:10:22
Argentina,0.136519945,21/11/2022 12:10:22
France,0.09612959,21/11/2022 12:10:22
Spain,0.087839197,21/11/2022 12:10:22
England,0.089296795,21/11/2022 12:10:22
Germany,0.073317553,21/11/2022 12:10:22
Netherlands,0.065405514,21/11/2022 12:10:22
Portugal,0.05645113,21/11/2022 12:10:22
Belgium,0.044437481,21/11/2022 12:10:22
Denmark,0.029995061,21/11/2022 12:10:22
Uruguay,0.021435706,21/11/2022 12:10:22
Croatia,0.015246305,21/11/2022 12:10:22
Serbia,0.009808644,21/11/2022 12:10:22
Switzerland,0.008398423,21/11/2022 12:10:22
Ecuador,0.008209124,21/11/2022 12:10:22
Senegal,0.006750324,21/11/2022 12:10:22
Mexico,0.006276392,21/11/2022 12:10:22
USA,0.005988045,21/11/2022 12:10:22
Poland,0.005380493,21/11/2022 12:10:22
Wales,0.004755149,21/11/2022 12:10:22
Australia,0.002167279,21/11/2022 12:10:22
Morocco,0.00334997,21/11/2022 12:10:22
Japan,0.00312344,21/11/2022 12:10:22
Canada,0.002977904,21/11/2022 12:10:22
South Korea,0.00295758,21/11/2022 12:10:22
Cameroon,0.00265052,21/11/2022 12:10:22
Ghana,0.00258274,21/11/2022 12:10:22
Iran,0.001701356,21/11/2022 12:10:22
Tunisia,0.001662997,21/11/2022 12:10:22
Saudi Arabia,0.001347709,21/11/2022 12:10:22
Costa Rica,0.001381737,21/11/2022 12:10:22
Qatar,0.001251678,21/11/2022 12:10:22
Brazil,0.200398617,21/11/2022 18:57:56
Argentina,0.138394003,21/11/2022 18:57:56
England,0.100750694,21/11/2022 18:57:56
France,0.093927233,21/11/2022 18:57:56
Spain,0.082155492,21/11/2022 18:57:56
Germany,0.072815148,21/11/2022 18:57:56
Netherlands,0.069700471,21/11/2022 18:57:56
Portugal,0.057488594,21/11/2022 18:57:56
Belgium,0.042698808,21/11/2022 18:57:56
Denmark,0.028878502,21/11/2022 18:57:56
Uruguay,0.021551056,21/11/2022 18:57:56
Croatia,0.014443115,21/11/2022 18:57:56
Serbia,0.009413758,21/11/2022 18:57:56
Switzerland,0.007915649,21/11/2022 18:57:56
Ecuador,0.007671459,21/11/2022 18:57:56
Mexico,0.006111052,21/11/2022 18:57:57
USA,0.005941707,21/11/2022 18:57:57
Wales,0.004694995,21/11/2022 18:57:57
Senegal,0.004742851,21/11/2022 18:57:57
Poland,0.005048416,21/11/2022 18:57:57
Morocco,0.003118034,21/11/2022 18:57:57
Australia,0.002176574,21/11/2022 18:57:57
Japan,0.002963337,21/11/2022 18:57:57
Canada,0.002695115,21/11/2022 18:57:57
Cameroon,0.002513207,21/11/2022 18:57:57
Ghana,0.002427506,21/11/2022 18:57:57
South Korea,0.002805763,21/11/2022 18:57:57
Iran,0.001282332,21/11/2022 18:57:57
Tunisia,0.001598405,21/11/2022 18:57:57
Saudi Arabia,0.001306962,21/11/2022 18:57:57
Costa Rica,0.001319232,21/11/2022 18:57:57
Qatar,0.001051915,21/11/2022 18:57:57
Brazil,0.200376606,21/11/2022 19:10:22
Argentina,0.138822708,21/11/2022 19:10:22
England,0.100789331,21/11/2022 19:10:22
France,0.09390924,21/11/2022 19:10:22
Spain,0.082186997,21/11/2022 19:10:22
Germany,0.072843072,21/11/2022 19:10:22
Netherlands,0.069186881,21/11/2022 19:10:22
Portugal,0.057433151,21/11/2022 19:10:22
Belgium,0.042715183,21/11/2022 19:10:22
Denmark,0.028920655,21/11/2022 19:10:22
Uruguay,0.021559321,21/11/2022 19:10:22
Croatia,0.014533268,21/11/2022 19:10:22
Serbia,0.009497846,21/11/2022 19:10:22
Switzerland,0.00785611,21/11/2022 19:10:22
Ecuador,0.007583987,21/11/2022 19:10:22
Mexico,0.006154058,21/11/2022 19:10:22
USA,0.005963095,21/11/2022 19:10:22
Poland,0.005061481,21/11/2022 19:10:22
Wales,0.004696397,21/11/2022 19:10:22
Senegal,0.004572447,21/11/2022 19:10:22
Morocco,0.003117182,21/11/2022 19:10:22
Australia,0.002177408,21/11/2022 19:10:22
Japan,0.002964473,21/11/2022 19:10:22
Canada,0.002697721,21/11/2022 19:10:22
Cameroon,0.00253257,21/11/2022 19:10:22
Ghana,0.002434021,21/11/2022 19:10:22
South Korea,0.002812423,21/11/2022 19:10:22
Iran,0.001291025,21/11/2022 19:10:22
Tunisia,0.001607219,21/11/2022 19:10:22
Saudi Arabia,0.001315665,21/11/2022 19:10:22
Costa Rica,0.001327939,21/11/2022 19:10:22
Qatar,0.001060519,21/11/2022 19:10:22
