country,prob,currDateTime,,
South Korea,0.003193857,12/11/2022 00:16:10,,
Australia,0.002311863,12/11/2022 00:16:10,,
Qatar,0.002579278,12/11/2022 00:16:10,,
Tunisia,0.001799716,12/11/2022 00:16:10,,
Saudi Arabia,0.001335923,12/11/2022 00:16:10,,
Costa Rica,0.001303372,12/11/2022 00:16:10,,
Brazil,0.188217491,18/11/2022 19:48:46,,
Argentina,0.13738186,18/11/2022 19:48:46,,
France,0.109366433,18/11/2022 19:48:46,,
Spain,0.090314123,18/11/2022 19:48:46,,
England,0.089784724,18/11/2022 19:48:46,,
Germany,0.073126289,18/11/2022 19:48:46,,
Netherlands,0.064389177,18/11/2022 19:48:46,,
Portugal,0.052082147,18/11/2022 19:48:46,,
Belgium,0.048564454,18/11/2022 19:48:46,,
Denmark,0.029793189,18/11/2022 19:48:46,,
Uruguay,0.020201495,18/11/2022 19:48:46,,
Croatia,0.016449268,18/11/2022 19:48:46,,
Serbia,0.008920615,18/11/2022 19:48:46,,
Switzerland,0.008734103,18/11/2022 19:48:46,,
Senegal,0.007932831,18/11/2022 19:48:46,,
Mexico,0.005946516,18/11/2022 19:48:46,,
USA,0.005912361,18/11/2022 19:48:46,,
Poland,0.005418608,18/11/2022 19:48:46,,
Ecuador,0.004640236,18/11/2022 19:48:46,,
Wales,0.004438238,18/11/2022 19:48:46,,
Morocco,0.003350027,18/11/2022 19:48:46,,
Japan,0.003281416,18/11/2022 19:48:46,,
Ghana,0.002630666,18/11/2022 19:48:46,,
Canada,0.002922597,18/11/2022 19:48:46,,
Cameroon,0.002565273,18/11/2022 19:48:46,,
Iran,0.001817582,18/11/2022 19:48:46,,
South Korea,0.002938263,18/11/2022 19:48:46,,
Australia,0.002312108,18/11/2022 19:48:46,,
Qatar,0.002409914,18/11/2022 19:48:46,,
Tunisia,0.001624899,18/11/2022 19:48:46,,
Saudi Arabia,0.001299356,18/11/2022 19:48:46,,
Costa Rica,0.00123374,18/11/2022 19:48:46,,
